Driver,LapNumber,Stint,Compound,Team,compound_medium,compound_soft,driver_alo,driver_bot,driver_dev,driver_gas,driver_ham,driver_hul,driver_lec,driver_mag,driver_nor,driver_oco,driver_per,driver_pia,driver_rus,driver_sai,driver_sar,driver_str,driver_tsu,driver_ver,driver_zho,field_median_lag1,field_pace_trend,form_vs_baseline,gap_expanding,gap_roll3_mean,gap_roll3_std,humidity,is_fresh_tyre,stint_number,team_alphatauri,team_alpine,team_aston_martin,team_ferrari,team_haas_f1_team,team_mclaren,team_mercedes,team_red_bull_racing,team_williams,track_status,tracktemp_dev_x_tyrelife,tyre_life,tyrelife_x_medium,tyrelife_x_soft,wind_speed,target_laptime,target_pit_next_lap,target_laptime_fuel_corrected
ALB,4.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8625,-0.556500000000014,0.18333333333333712,0.0971666666666664,0.0971666666666664,0.1588665582598627,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.162843601895716,4.0,0.0,4.0,0.4,99.761,0,99.94497901210994
ALB,5.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.792,-0.07049999999999557,-0.09612500000000423,0.06512499999999832,0.0868333333333311,0.1690298297145656,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.453554502369649,5.0,0.0,5.0,0.8999999999999999,100.606,0,100.85130534947993
ALB,6.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.618,0.8259999999999934,-0.06169999999999902,0.049699999999998565,0.07916666666666572,0.1746183934565163,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.544265402843578,6.0,0.0,6.0,0.6,100.744,0,101.05063168684991
ALB,7.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.5375,-0.08050000000000068,0.13066666666667243,0.07583333333333304,0.054499999999999695,0.13197821789977832,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.934976303317498,7.0,0.0,7.0,0.6,100.646,0,101.01395802421989
ALB,8.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.60499999999999,0.06749999999999545,-0.02985714285713316,0.07085714285714419,0.07850000000000534,0.11397477791160782,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.925687203791426,8.0,0.0,8.0,0.8999999999999999,100.918,0,101.34728436158989
ALB,9.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.70400000000001,0.09900000000001796,0.12524999999999764,0.088750000000001,0.15383333333333837,0.09778846216876658,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.016398104265374,9.0,0.0,9.0,0.6,100.969,0,101.45961069895985
ALB,10.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.8245,0.12049999999999272,0.04955555555554901,0.09494444444444462,0.13316666666666777,0.08705505920583899,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.907109004739304,10.0,0.0,10.0,0.8,101.119,0,101.67093703632985
ALB,11.0,1.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.9885,0.16400000000000148,0.03199999999999789,0.09849999999999995,0.1629999999999967,0.044718564377673346,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5978199052132425,11.0,0.0,11.0,0.6,103.948,1,104.56126337369982
ALB,12.0,2.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.24950000000001,0.2610000000000099,2.363636363636347,0.33486363636363464,0.9911666666666576,1.4786106090966982,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6907109004739311,1.0,0.0,1.0,0.8999999999999999,103.98475,0,104.6593397110698
ALB,13.0,2.0,SOFT,WILLIAMS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.134,-0.11550000000001148,2.306229166666673,0.5445208333333321,1.8932499999999948,1.5284831328804362,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1814218009478594,2.0,0.0,2.0,0.8,98.649,0,99.38491604843979
