LapNumber,LapTime,Stint,TyreLife,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Driver_ALO,Driver_GAS,Driver_HAM,Driver_LEC,Driver_NOR,Driver_PER,Driver_PIA,Driver_RUS,Driver_SAI,Driver_VER,Team_ALPINE,Team_ASTON MARTIN,Team_FERRARI,Team_MCLAREN,Team_MERCEDES,Team_RED BULL,Compound_HARD,Compound_MEDIUM,Compound_SOFT,FreshTyre_FALSE,FreshTyre_TRUE,TrackStatus_1,Rainfall_FALSE,IsPersonalBest_FALSE,IsPersonalBest_TRUE
-1.7008401285415224,-1.7700757712609845,-1.083073888747854,-1.5309725680972643,-1.8751204590626418,-1.98468823013906,-1.230002394062625,1.0278661832444684,-0.030804153932023865,0.22128946029500135,-0.7753914816965096,-0.2603235947053256,1.4423779808827286,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False
-1.6378460497066512,-1.61229396110961,-1.083073888747854,-1.3852413613728796,-1.6280446827825292,-1.6821147754633163,-1.3830197082838014,0.06144192502889835,-0.6741184336159736,0.6458564480702934,-0.3267382238288832,0.027182383382885894,-0.17579211495715072,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.57485197087178,-1.7146842847184751,-1.083073888747854,-1.2395101546484948,-1.6115729643638537,-1.940894703804402,-1.3889049896000076,0.3030479895827945,0.9341672655939064,0.07976713103657067,0.040341714426446525,-0.6370555659933259,-0.8115017954656746,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.5118578920369088,-1.4645833303295772,-1.083073888747854,-1.09377894792411,-1.1119308389973774,-1.5865652634604468,-1.5654634290859675,-1.6679488528305333,-1.8702809224033252,0.009005966407354064,0.36663499287562784,-0.379291585638378,-0.4069592715057048,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.4488638132020377,-0.8065996114004071,-1.083073888747854,-0.9480477411997252,-0.9307419363919668,-0.929662368440748,-0.42371885374334095,1.4602138777093245,0.1300244159889664,0.5043341188118627,0.692928271324812,-1.539229497235643,-0.7537100063285361,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.3858697343671664,-1.0231299678847618,-1.083073888747854,-0.8023165344753403,-0.9362325091981789,-1.0132681914432586,-1.0534439545766443,-1.1847367237227555,0.9241154799738424,-1.3354561615477414,0.285061673263334,0.8203023229365712,1.153419035197036,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.3228756555322951,-0.8535984484667867,-1.083073888747854,-0.6565853277509556,-0.8428927714923578,-0.8102254784371612,-0.8533443898258801,0.9134212052978837,0.2606976290497703,0.009005966407354064,1.1007948693862901,-0.1016996067945884,-1.4472114759741983,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.259881576697424,-0.3735388984317216,-1.083073888747854,-0.5108541210265708,-0.34325064612588146,-0.18517242075173332,-0.6414742624427032,-0.307325226132302,-1.0661380727983854,0.9289011065871573,-2.7739378121977505,-0.43877558110490456,-0.17579211495715072,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.1968874978625528,-0.3248615314701066,-1.083073888747854,-0.36512291430218596,-0.46404324786284146,-0.30859054042212514,-0.15299591319818442,-0.10386748756060801,1.8187244001593414,-1.0524115030308798,-2.7739378121977505,1.3854002798685723,-1.1004607411513672,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
-1.1338934190276817,0.1266630103460741,-1.083073888747854,-0.2193917075778012,0.01912715908495936,-0.07369799008172843,0.5650084073781093,-1.0575756371154441,0.3813190564905102,-0.5570833506263713,0.040341714426446525,-0.5676575712823781,1.3845861917455897,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,True,False
