raceId,driverId,lap,position,time,milliseconds
1,1,1,6,92.11699999999999,92117.0
1,1,2,4,92.305,92305.0
1,1,3,5,92.212,88663.0
1,1,4,9,92.25200000000001,105601.75
1,1,5,1,92.08500000000001,92085.0
1,1,6,6,92.065,92065.0
1,1,7,3,92.277,92277.0
1,1,8,7,92.14099999999999,92141.0
1,1,9,1,92.074,92074.0
1,1,10,10,92.12899999999999,92129.0
1,1,11,8,92.088,92088.0
1,1,12,2,92.196,92196.0
1,1,13,6,92.167,92167.0
1,1,14,2,92.167,92167.0
1,1,15,4,92.36500000000001,92365.0
1,1,16,10,92.038,92038.0
1,1,17,1,91.994,91994.0
1,1,18,5,92.219,92219.0
1,1,19,7,92.062,92062.0
1,1,20,5,91.729,91729.0
1,1,21,10,91.898,91898.0
1,1,22,5,91.877,91877.0
1,1,23,5,91.724,91724.0
1,1,24,9,91.81,91810.0
1,1,25,3,91.814,91814.0
1,1,26,7,91.806,91806.0
1,1,27,9,91.85300000000001,91853.0
1,1,28,1,91.798,91798.0
1,1,29,5,91.831,91831.0
1,1,30,8,91.709,91709.0
1,1,31,6,91.68299999999999,91683.0
1,1,32,6,91.699,91699.0
1,1,33,5,91.90299999999999,91903.0
1,1,34,7,91.832,91832.0
1,1,35,1,91.506,91506.0
1,1,36,8,91.719,91719.0
1,1,37,1,91.762,91762.0
1,1,38,6,91.779,91779.0
1,1,39,4,91.634,91634.0
1,1,40,5,91.531,91531.0
1,1,41,10,91.39699999999999,91397.0
1,1,42,9,91.276,91276.0
1,1,43,9,91.293,91293.0
1,1,44,3,91.413,91413.0
1,1,45,2,91.47,91470.0
1,1,46,6,91.399,91399.0
1,1,47,5,91.447,91447.0
1,1,48,5,91.418,91418.0
1,1,49,4,91.276,91276.0
1,1,50,1,91.30199999999999,91302.0
1,1,51,7,91.196,91196.0
1,2,1,4,91.97800000000001,91978.0
1,2,2,10,92.17699999999999,92177.0
1,2,3,5,92.012,92012.0
1,2,4,3,92.269,92269.0
1,2,5,3,92.062,92062.0
1,2,6,8,91.985,91985.0
1,2,7,1,92.064,92064.0
1,2,8,1,92.03999999999999,92040.0
1,2,9,8,92.173,92173.0
1,2,10,3,92.11699999999999,92117.0
1,2,11,6,92.08500000000001,92085.0
1,2,12,2,91.875,91875.0
1,2,13,5,92.049,92049.0
1,2,14,8,92.061,92061.0
1,2,15,2,92.027,92027.0
1,2,16,6,91.988,91988.0
1,2,17,8,91.886,91886.0
1,2,18,5,92.027,92027.0
1,2,19,2,92.156,92156.0
1,2,20,4,91.787,91787.0
1,2,21,2,91.912,91912.0
1,2,22,6,91.652,91652.0
1,2,23,10,91.60900000000001,91609.0
1,2,24,6,91.547,91547.0
1,2,25,3,91.781,91781.0
1,2,26,1,91.52,91520.0
1,2,27,5,91.56700000000001,91567.0
1,2,28,8,91.781,105601.75
1,2,29,7,91.912,91912.0
1,2,30,5,91.714,88663.0
1,2,31,6,91.538,105601.75
1,2,32,5,91.681,91681.0
1,2,33,6,91.543,91543.0
1,2,34,6,91.559,91559.0
1,2,35,4,91.608,91608.0
1,2,36,9,91.635,91635.0
1,2,37,4,91.59,88663.0
1,2,38,6,91.4,91400.0
1,2,39,2,91.53399999999999,91534.0
1,2,40,3,91.378,91378.0
1,2,41,10,91.549,91549.0
1,2,42,8,91.447,91447.0
1,2,43,10,91.261,91261.0
1,2,44,3,91.197,91197.0
1,2,45,6,91.218,91218.0
1,2,46,4,91.19800000000001,91198.0
1,2,47,10,91.389,91389.0
1,2,48,4,91.392,91392.0
1,2,49,7,91.319,91319.0
1,2,50,6,91.26,91260.0
1,2,51,2,91.178,91178.0
1,3,1,9,92.834,92834.0
1,3,2,1,92.949,92949.0
1,3,3,8,92.735,92735.0
1,3,4,9,92.90899999999999,92909.0
1,3,5,1,92.952,92952.0
1,3,6,1,92.782,92782.0
1,3,7,10,92.588,92588.0
1,3,8,1,92.94200000000001,92942.0
1,3,9,9,92.715,92715.0
1,3,10,4,92.682,92682.0
1,3,11,6,92.587,92587.0
1,3,12,10,92.60499999999999,92605.0
1,3,13,8,92.657,92657.0
1,3,14,5,92.696,92696.0
1,3,15,2,92.729,92729.0
1,3,16,3,92.84899999999999,92849.0
1,3,17,2,92.749,92749.0
1,3,18,3,92.418,92418.0
1,3,19,6,92.555,92555.0
1,3,20,5,92.262,92262.0
1,3,21,2,92.36,92360.0
1,3,22,1,92.50200000000001,92502.0
1,3,23,8,92.388,92388.0
1,3,24,10,92.318,92318.0
1,3,25,4,92.488,92488.0
1,3,26,4,92.425,92425.0
1,3,27,10,92.334,92334.0
1,3,28,5,92.261,92261.0
1,3,29,1,92.36500000000001,92365.0
1,3,30,9,92.34899999999999,92349.0
1,3,31,2,92.331,92331.0
1,3,32,1,92.34,92340.0
1,3,33,10,92.529,92529.0
1,3,34,8,92.194,92194.0
1,3,35,9,92.113,92113.0
1,3,36,9,92.209,92209.0
1,3,37,1,92.417,92417.0
1,3,38,3,92.17699999999999,92177.0
1,3,39,8,91.998,91998.0
1,3,40,8,91.989,91989.0
1,3,41,7,91.937,91937.0
1,3,42,2,91.887,91887.0
1,3,43,7,91.773,91773.0
1,3,44,6,91.8,91800.0
1,3,45,3,91.814,91814.0
1,3,46,9,91.82900000000001,91829.0
1,3,47,9,92.301,92301.0
1,3,48,5,91.804,91804.0
1,3,49,6,91.977,91977.0
1,3,50,4,92.136,92136.0
1,3,51,4,91.89099999999999,91891.0
1,4,1,8,92.231,92231.0
1,4,2,9,92.261,92261.0
1,4,3,3,92.203,92203.0
1,4,4,3,92.39500000000001,92395.0
1,4,5,3,92.245,92245.0
1,4,6,1,92.057,92057.0
1,4,7,2,92.326,92326.0
1,4,8,1,92.232,92232.0
1,4,9,9,91.957,91957.0
1,4,10,9,92.213,92213.0
1,4,11,4,92.017,92017.0
1,4,12,9,92.174,92174.0
1,4,13,7,92.14099999999999,92141.0
1,4,14,8,92.114,92114.0
1,4,15,4,92.088,92088.0
1,4,16,6,92.287,92287.0
1,4,17,8,91.795,91795.0
1,4,18,4,92.116,92116.0
1,4,19,1,92.122,92122.0
1,4,20,2,91.628,91628.0
1,4,21,7,91.87,91870.0
1,4,22,3,91.639,91639.0
1,4,23,8,91.918,91918.0
1,4,24,4,91.799,91799.0
1,4,25,3,91.672,91672.0
1,4,26,3,91.947,91947.0
1,4,27,9,91.85300000000001,91853.0
1,4,28,5,91.916,91916.0
1,4,29,10,91.819,91819.0
1,4,30,9,91.811,91811.0
1,4,31,6,91.85,91850.0
1,4,32,6,91.751,91751.0
1,4,33,2,91.651,91651.0
1,4,34,8,91.58500000000001,91585.0
1,4,35,6,91.813,91813.0
1,4,36,9,91.719,91719.0
1,4,37,7,91.843,91843.0
1,4,38,1,91.913,91913.0
1,4,39,6,91.774,91774.0
1,4,40,10,91.431,91431.0
1,4,41,2,91.28999999999999,91290.0
1,4,42,9,91.604,91604.0
1,4,43,10,91.491,91491.0
1,4,44,8,91.285,91285.0
1,4,45,8,91.40299999999999,91403.0
1,4,46,6,91.31,91310.0
1,4,47,2,91.42,91420.0
1,4,48,6,91.44800000000001,91448.0
1,4,49,7,91.092,91092.0
1,4,50,6,91.367,91367.0
1,4,51,6,91.4,91400.0
1,5,1,9,91.968,91968.0
1,5,2,8,91.965,91965.0
1,5,3,6,91.821,91821.0
1,5,4,4,91.898,91898.0
1,5,5,1,91.95400000000001,91954.0
1,5,6,10,91.773,91773.0
1,5,7,2,91.877,91877.0
1,5,8,8,91.795,91795.0
1,5,9,4,91.777,91777.0
1,5,10,8,91.969,91969.0
1,5,11,7,91.861,91861.0
1,5,12,10,91.955,91955.0
1,5,13,5,91.945,91945.0
1,5,14,2,92.11500000000001,92115.0
1,5,15,2,91.804,91804.0
1,5,16,2,92.013,92013.0
1,5,17,6,91.757,91757.0
1,5,18,1,91.961,91961.0
1,5,19,5,91.604,91604.0
1,5,20,3,91.356,88663.0
1,5,21,1,91.445,91445.0
1,5,22,4,91.595,91595.0
1,5,23,6,91.557,91557.0
